postal,name,lat,lng,province
2431,Varendonk,51.08397,4.9513,Antwerpen
2431,Veerle,51.06994,4.98721,Antwerpen
2440,Geel,51.16257,4.99084,Antwerpen
2450,Meerhout,51.13219,5.07708,Antwerpen
2460,Kasterlee,51.2405204,4.9674449,Antwerpen
2460,Lichtaart,51.2197251,4.9108088,Antwerpen
2460,Tielen,51.2434976,4.8976789,Antwerpen
2470,Retie,51.2669664,5.0842508,Antwerpen
2480,Dessel,51.23985,5.11269,Antwerpen
2490,Balen,51.1578305,5.2100666,Antwerpen
2491,Olmen,51.1420912,5.15072,Antwerpen
2500,Koningshooikt,51.09522,4.61011,Antwerpen
2500,Lier,51.1302138,4.5715092,Antwerpen
2520,Broechem,51.1813334,4.6020124,Antwerpen
2520,Emblem,51.1620413,4.605068,Antwerpen
2520,Oelegem,51.2129972,4.5997149,Antwerpen
2520,Ranst,51.189094,4.5609095,Antwerpen
2530,Boechout,51.1664397,4.49717,Antwerpen
2531,Vremde,51.17486,4.52311,Antwerpen
2540,Hove,51.1539722,4.4711513,Antwerpen
2547,Lint,51.12723,4.49669,Antwerpen
2550,Kontich,51.1352235,4.4448202,Antwerpen
2550,Waarloos,51.105061,4.4546959,Antwerpen
2560,Bevel,51.13774,4.68038,Antwerpen
2560,Kessel,51.13915,4.62968,Antwerpen
2560,Nijlen,51.1613531,4.6706015,Antwerpen
2570,Duffel,51.0953745,4.5052038,Antwerpen
2580,Beerzel,51.05786,4.66764,Antwerpen
2580,Putte,51.05476,4.62867,Antwerpen
2590,Berlaar,51.11804,4.65752,Antwerpen
2590,Gestel,51.1284,4.67316,Antwerpen
2600,Berchem,51.189856,4.432951,Antwerpen
2610,Wilrijk,51.1683102,4.3942868,Antwerpen
2620,Hemiksem,51.14518,4.33834,Antwerpen
2627,Schelle,51.1269186,4.3388412,Antwerpen
2630,Aartselaar,51.1340539,4.3844742,Antwerpen
2640,Mortsel,51.1728522,4.4665225,Antwerpen
2650,Edegem,51.1559541,4.4318937,Antwerpen
2660,Hoboken,51.1775732,4.34992,Antwerpen
2800,Mechelen,51.0258791,4.4775365,Antwerpen
2800,Walem,51.0676813,4.4572147,Antwerpen
2801,Heffen,51.0468914,4.4137291,Antwerpen
2811,Hombeek,51.014356,4.4427697,Antwerpen
2811,Leest,51.0328978,4.4176682,Antwerpen
2812,Muizen,51.0103798,4.5157593,Antwerpen
2820,Bonheiden,51.02221,4.54803,Antwerpen
2820,Rijmenam,51.0037609,4.5902677,Antwerpen
2830,Blaasveld,51.05583,4.37719,Antwerpen
2830,Heindonk,51.0673,4.40756,Antwerpen
